Customer_ID,Gender,Age,Region,Subscription_Type,Monthly_Charges,Tenure_Months,Total_Spend,Support_Tickets,Last_Login_Days,Payment_Method,Contract_Type,Join_Date,Churn,Customer_Lifetime_Value
CUST0001,Male,58,West,Basic,17,15,240,1,44,Credit Card,Quarterly,28-01-2025,No,255
CUST0002,Female,19,East,Basic,10,36,360,10,45,Credit Card,Monthly,12-07-2024,Yes,360
CUST0003,Female,28,East,Standard,34,14,512,1,6,Credit Card,Monthly,25-01-2024,Yes,476
CUST0004,Female,64,South,Standard,59,25,1445,8,19,Credit Card,Monthly,29-04-2025,No,1475
CUST0005,Female,20,South,Standard,32,15,455,6,18,UPI,Quarterly,09-04-2024,No,480
CUST0006,Female,40,East,Basic,12,39,461,8,47,PayPal,Monthly,08-09-2023,Yes,468
CUST0007,Male,32,South,Standard,54,4,224,0,52,PayPal,Yearly,20-11-2023,Yes,216
CUST0008,Female,63,West,Basic,22,42,991,2,17,PayPal,Quarterly,23-05-2023,No,924
CUST0009,Male,43,South,Basic,14,33,538,1,49,Net Banking,Yearly,18-02-2023,No,462
CUST0010,Male,56,East,Basic,24,34,830,8,56,UPI,Monthly,12-01-2023,Yes,816
CUST0011,Male,25,East,Basic,10,47,487,8,49,PayPal,Monthly,02-07-2023,Yes,470
CUST0012,Male,56,East,Basic,15,35,610,0,39,UPI,Monthly,28-11-2023,Yes,525
CUST0013,Male,33,West,Basic,12,6,146,1,49,PayPal,Yearly,29-06-2024,No,72
CUST0014,Female,28,West,Basic,23,14,410,3,46,PayPal,Yearly,16-11-2023,No,322
CUST0015,Male,46,North,Basic,20,2,140,8,15,Debit Card,Monthly,25-08-2024,Yes,40
CUST0016,Male,22,West,Premium,74,33,2452,4,43,Debit Card,Yearly,12-05-2024,Yes,2442
CUST0017,Male,48,North,Premium,76,43,3328,5,28,Credit Card,Monthly,25-02-2024,No,3268
CUST0018,Male,43,East,Standard,33,16,527,3,35,Net Banking,Yearly,04-04-2024,Yes,528
CUST0019,Male,33,South,Premium,105,7,697,10,35,Net Banking,Monthly,16-01-2023,No,735
CUST0020,Female,49,East,Standard,58,4,224,6,1,Net Banking,Yearly,04-02-2024,Yes,232
CUST0021,Male,62,North,Premium,105,43,4589,2,13,UPI,Yearly,31-10-2023,No,4515
CUST0022,Male,21,South,Basic,15,4,140,1,55,Net Banking,Monthly,10-07-2023,Yes,60
CUST0023,Female,25,East,Premium,107,39,4133,9,6,Debit Card,Quarterly,05-03-2024,No,4173
CUST0024,Male,60,West,Standard,42,9,404,7,21,PayPal,Monthly,08-02-2025,No,378
CUST0025,Male,54,East,Premium,83,33,2756,2,60,UPI,Monthly,24-12-2023,No,2739
CUST0026,Male,28,South,Standard,39,40,1645,0,43,UPI,Quarterly,16-04-2025,No,1560
CUST0027,Female,25,West,Premium,79,18,1444,9,14,UPI,Quarterly,04-01-2025,No,1422
CUST0028,Female,21,South,Basic,18,3,4,5,50,Net Banking,Monthly,14-05-2023,Yes,54
CUST0029,Male,53,West,Standard,33,5,153,8,3,Debit Card,Quarterly,14-01-2024,No,165
CUST0030,Female,20,South,Basic,11,23,256,10,16,Debit Card,Yearly,13-11-2024,Yes,253
CUST0031,Male,28,East,Premium,96,2,187,5,51,Debit Card,Yearly,26-02-2024,No,192
CUST0032,Male,62,South,Basic,25,15,376,7,23,Credit Card,Yearly,09-11-2023,No,375
CUST0033,Female,60,North,Basic,12,18,255,10,33,Credit Card,Monthly,14-02-2024,Yes,216
CUST0034,Female,34,West,Basic,18,3,31,9,28,PayPal,Yearly,20-12-2023,No,54
CUST0035,Male,50,East,Basic,16,17,233,6,1,Net Banking,Yearly,16-06-2024,No,272
CUST0036,Female,22,West,Premium,109,21,2270,4,33,UPI,Yearly,13-11-2023,No,2289
CUST0037,Male,53,East,Basic,22,44,962,9,37,UPI,Monthly,05-11-2023,Yes,968
CUST0038,Female,31,South,Standard,50,21,1119,7,29,Credit Card,Quarterly,22-11-2024,Yes,1050
CUST0039,Male,36,North,Standard,40,6,250,10,20,Credit Card,Quarterly,19-08-2023,No,240
CUST0040,Female,33,West,Premium,119,5,661,6,57,Net Banking,Quarterly,06-10-2024,No,595
CUST0041,Male,33,South,Basic,13,28,370,2,52,Credit Card,Quarterly,13-12-2024,No,364
CUST0042,Male,47,West,Basic,20,29,659,6,54,Net Banking,Monthly,15-07-2024,Yes,580
CUST0043,Female,34,South,Standard,38,34,1366,10,16,UPI,Yearly,09-10-2023,No,1292
CUST0044,Male,39,West,Basic,14,10,149,6,45,Net Banking,Quarterly,06-06-2023,No,140
CUST0045,Female,39,West,Standard,36,27,1021,9,45,Credit Card,Monthly,21-01-2023,No,972
CUST0046,Female,40,West,Basic,23,35,894,9,58,Net Banking,Monthly,14-08-2023,Yes,805
CUST0047,Male,19,West,Basic,22,47,1026,7,59,PayPal,Quarterly,11-05-2023,No,1034
CUST0048,Male,54,West,Standard,43,9,455,2,4,UPI,Monthly,24-09-2023,Yes,387
CUST0049,Male,39,East,Standard,54,27,1472,1,31,Debit Card,Monthly,20-01-2023,No,1458
CUST0050,Male,59,South,Basic,11,2,35,3,54,Net Banking,Yearly,21-01-2023,No,22
CUST0051,Male,60,South,Basic,24,45,1095,5,11,UPI,Yearly,12-09-2024,No,1080
CUST0052,Male,24,North,Standard,48,44,2158,6,46,UPI,Yearly,23-07-2023,Yes,2112
CUST0053,Female,61,North,Standard,48,3,182,8,28,Net Banking,Monthly,08-11-2024,Yes,144
CUST0054,Female,49,West,Basic,24,46,1093,6,12,Net Banking,Yearly,21-01-2025,No,1104
CUST0055,Female,45,West,Premium,90,16,1412,4,57,UPI,Quarterly,06-04-2024,Yes,1440
CUST0056,Female,19,North,Standard,45,14,670,4,22,PayPal,Monthly,14-10-2023,No,630
CUST0057,Male,30,North,Basic,25,36,911,7,42,UPI,Quarterly,29-12-2024,Yes,900
CUST0058,Female,32,East,Standard,51,38,1982,7,36,Net Banking,Monthly,27-06-2024,Yes,1938
CUST0059,Male,35,West,Basic,16,21,316,8,49,UPI,Monthly,07-12-2024,Yes,336
CUST0060,Female,64,North,Standard,49,19,906,3,19,PayPal,Quarterly,21-08-2023,No,931
CUST0061,Male,26,East,Basic,19,45,837,10,56,Net Banking,Yearly,09-02-2025,Yes,855
CUST0062,Male,48,North,Standard,31,17,599,1,53,Debit Card,Monthly,08-03-2023,Yes,527
CUST0063,Male,27,West,Premium,75,16,1180,8,49,Net Banking,Yearly,02-03-2024,No,1200
CUST0064,Male,46,South,Basic,23,20,555,9,4,Debit Card,Quarterly,16-09-2024,No,460
CUST0065,Female,34,East,Standard,35,36,1229,2,1,Credit Card,Monthly,23-02-2024,No,1260
CUST0066,Male,32,West,Basic,24,5,129,4,51,Credit Card,Monthly,21-03-2025,Yes,120
CUST0067,Female,52,West,Basic,18,10,148,0,11,Credit Card,Monthly,22-03-2025,Yes,180
CUST0068,Male,47,West,Standard,60,18,1158,8,32,UPI,Quarterly,24-03-2024,Yes,1080
CUST0069,Female,56,West,Basic,10,44,458,9,3,UPI,Monthly,20-02-2025,No,440
CUST0070,Male,29,South,Premium,101,6,676,5,27,UPI,Monthly,08-12-2023,No,606
CUST0071,Female,44,North,Standard,60,26,1650,0,30,Net Banking,Monthly,01-04-2023,Yes,1560
CUST0072,Female,50,West,Premium,104,30,3175,0,13,Credit Card,Monthly,14-06-2024,No,3120
CUST0073,Male,31,South,Basic,19,29,625,1,2,UPI,Monthly,07-10-2024,No,551
CUST0074,Female,53,East,Basic,17,8,204,1,42,Net Banking,Monthly,07-06-2023,Yes,136
CUST0075,Male,48,North,Premium,105,10,1098,3,59,UPI,Monthly,05-09-2024,No,1050
CUST0076,Female,44,South,Basic,18,1,40,4,54,Net Banking,Quarterly,24-08-2024,No,18
CUST0077,Male,52,West,Standard,54,35,1936,7,60,Debit Card,Monthly,26-11-2023,No,1890
CUST0078,Female,44,North,Basic,22,25,538,7,3,Net Banking,Quarterly,10-05-2023,No,550
CUST0079,Female,24,East,Standard,53,10,584,10,10,PayPal,Monthly,18-03-2023,Yes,530
CUST0080,Female,62,North,Basic,20,44,966,6,21,PayPal,Monthly,03-10-2024,No,880
CUST0081,Male,22,West,Basic,19,15,258,6,7,Debit Card,Quarterly,17-02-2025,No,285
CUST0082,Female,62,South,Basic,20,4,105,5,24,Debit Card,Monthly,17-03-2024,Yes,80
CUST0083,Female,29,East,Basic,17,32,643,2,15,Credit Card,Yearly,17-04-2024,No,544
CUST0084,Female,47,East,Premium,80,5,463,5,38,Net Banking,Quarterly,03-11-2023,No,400
CUST0085,Female,37,North,Basic,25,7,185,6,37,Net Banking,Monthly,03-01-2024,No,175
CUST0086,Female,35,South,Basic,11,39,506,4,50,Debit Card,Yearly,29-03-2025,Yes,429
CUST0087,Female,57,North,Basic,14,41,548,10,42,PayPal,Quarterly,10-02-2023,Yes,574
CUST0088,Female,41,East,Standard,39,21,875,2,13,Debit Card,Monthly,16-05-2023,No,819
CUST0089,Male,34,West,Premium,88,48,4260,1,30,PayPal,Yearly,19-03-2023,No,4224
CUST0090,Female,41,West,Basic,18,35,611,7,24,UPI,Monthly,19-11-2024,No,630
CUST0091,Female,24,East,Standard,49,36,1797,9,15,Net Banking,Monthly,25-10-2024,Yes,1764
CUST0092,Female,25,East,Basic,19,32,587,1,16,PayPal,Yearly,04-07-2024,Yes,608
CUST0093,Female,44,North,Standard,58,27,1541,7,40,UPI,Quarterly,22-02-2024,No,1566
CUST0094,Female,31,North,Standard,57,24,1343,10,24,Net Banking,Yearly,11-07-2024,No,1368
CUST0095,Male,35,East,Basic,24,6,148,10,41,Debit Card,Monthly,03-09-2024,No,144
CUST0096,Female,26,South,Standard,56,36,2019,9,14,PayPal,Monthly,12-04-2025,No,2016
CUST0097,Male,18,North,Basic,14,35,504,2,8,UPI,Yearly,07-11-2024,No,490
CUST0098,Female,33,West,Standard,38,4,134,6,34,UPI,Monthly,27-04-2023,No,152
CUST0099,Male,50,North,Standard,37,40,1441,10,34,Net Banking,Monthly,05-11-2023,Yes,1480
CUST0100,Male,43,East,Standard,52,29,1476,1,21,PayPal,Monthly,14-09-2024,Yes,1508
CUST0101,Male,58,North,Standard,42,39,1723,4,30,PayPal,Quarterly,01-06-2024,No,1638
CUST0102,Female,64,West,Premium,84,27,2304,7,26,UPI,Monthly,01-03-2024,No,2268
CUST0103,Female,60,South,Basic,25,5,98,1,6,PayPal,Yearly,18-03-2024,Yes,125
CUST0104,Female,21,North,Standard,40,43,1701,6,23,UPI,Quarterly,12-11-2024,No,1720
CUST0105,Female,56,North,Basic,16,10,233,3,55,UPI,Monthly,21-04-2023,Yes,160
CUST0106,Female,54,East,Basic,10,39,408,0,12,UPI,Monthly,07-10-2023,No,390
CUST0107,Male,18,West,Basic,22,5,96,10,2,Net Banking,Monthly,04-04-2023,Yes,110
CUST0108,Male,47,North,Basic,20,37,711,0,10,UPI,Monthly,11-06-2023,No,740
CUST0109,Female,46,North,Standard,44,27,1207,3,49,UPI,Monthly,08-06-2024,Yes,1188
CUST0110,Male,61,East,Standard,51,20,981,3,26,Debit Card,Monthly,05-09-2024,Yes,1020
CUST0111,Male,26,East,Standard,33,1,110,6,12,Credit Card,Monthly,13-05-2023,Yes,33
CUST0112,Female,43,East,Premium,71,30,2099,5,37,Credit Card,Monthly,15-03-2024,No,2130
CUST0113,Female,43,North,Basic,24,45,1122,1,28,Net Banking,Monthly,19-04-2023,Yes,1080
CUST0114,Male,37,East,Standard,54,11,563,8,41,UPI,Monthly,27-04-2023,Yes,594
CUST0115,Male,64,North,Premium,79,16,1240,2,17,Debit Card,Quarterly,22-07-2023,No,1264
CUST0116,Female,58,East,Standard,54,38,2116,10,60,Debit Card,Quarterly,01-08-2024,No,2052
CUST0117,Female,46,North,Basic,19,18,306,5,33,Credit Card,Monthly,17-03-2023,Yes,342
CUST0118,Male,41,West,Premium,75,40,3079,6,30,PayPal,Monthly,17-08-2024,No,3000
CUST0119,Male,59,South,Basic,14,4,121,1,52,Credit Card,Quarterly,18-12-2023,No,56
CUST0120,Female,33,North,Standard,46,34,1554,5,24,UPI,Yearly,17-10-2023,No,1564
CUST0121,Female,22,North,Basic,22,19,432,10,59,PayPal,Quarterly,09-09-2024,No,418
CUST0122,Female,60,South,Basic,22,9,169,4,36,PayPal,Monthly,21-01-2024,No,198
CUST0123,Female,23,South,Standard,41,2,124,4,12,Debit Card,Monthly,08-08-2023,Yes,82
CUST0124,Male,26,West,Basic,13,33,517,8,3,Debit Card,Monthly,08-11-2024,Yes,429
CUST0125,Male,28,West,Basic,15,47,767,0,27,PayPal,Quarterly,09-01-2024,No,705
CUST0126,Male,36,East,Standard,37,35,1306,4,52,PayPal,Quarterly,14-03-2025,No,1295
CUST0127,Male,46,East,Standard,42,33,1471,6,11,Credit Card,Monthly,16-04-2025,Yes,1386
CUST0128,Female,59,West,Standard,59,7,495,1,19,PayPal,Monthly,27-03-2023,No,413
CUST0129,Female,27,South,Premium,84,29,2475,0,27,Net Banking,Monthly,24-02-2023,No,2436
CUST0130,Female,23,South,Basic,13,46,633,2,9,Net Banking,Monthly,09-02-2023,Yes,598
CUST0131,Female,46,North,Standard,30,17,515,2,36,UPI,Yearly,14-01-2025,No,510
CUST0132,Male,33,South,Basic,23,41,1010,1,8,Debit Card,Monthly,26-05-2024,No,943
CUST0133,Female,36,North,Standard,37,37,1425,2,43,PayPal,Quarterly,15-11-2024,Yes,1369
CUST0134,Female,52,East,Standard,47,2,143,7,3,Credit Card,Yearly,12-10-2024,Yes,94
CUST0135,Male,40,East,Standard,53,43,2255,9,48,PayPal,Monthly,13-02-2025,Yes,2279
CUST0136,Male,39,West,Premium,119,44,5304,7,41,Credit Card,Monthly,06-07-2023,No,5236
CUST0137,Female,36,North,Basic,11,21,260,8,26,Debit Card,Quarterly,14-04-2025,No,231
CUST0138,Female,36,East,Basic,20,18,341,5,28,Debit Card,Quarterly,14-02-2024,No,360
CUST0139,Male,49,East,Standard,55,34,1888,1,47,UPI,Monthly,10-03-2024,Yes,1870
CUST0140,Male,24,East,Basic,19,29,610,2,45,PayPal,Quarterly,30-03-2024,No,551
